Salary,Position,Age,GP,GS,MP,FG,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,VORP
28333334,PG,36,55,44,31.2,3.6,1.9,1.6,2.1,4.1,5.1,1.0,0.4,1.9,2.6,11.2,12.6,0.565,0.639,0.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,0.9
27733332,PG,26,68,68,35.0,8.35,2.0,6.7,3.8750000000000004,3.5,6.049999999999999,0.9,0.2,2.1,2.2,23.099999999999998,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,4.5,1.8,8.425,2.1500000000000004
27300000,SF,33,74,74,36.2,8.35,0.6,6.8999999999999995,3.8750000000000004,4.6,5.1,1.1,0.5,2.1,2.5,23.099999999999998,20.6,0.592,0.109,0.401,1.5,12.8,7.2,22.3,1.5,1.3,9.1,27.8,4.5,3.2,8.425,2.1500000000000004
26500000,C,36,63,63,30.5,3.6,2.3,1.3,0.2,6.2,3.0,0.5,1.0,0.6,1.9,9.8,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,2.1500000000000004
25806468,PF,32,73,73,31.5,3.4,0.5,2.9,1.1,7.2,6.049999999999999,1.0,0.8,2.8,3.1,8.5,12.2,0.592,0.276,0.228,3.2,21.6,12.6,27.8,1.5,2.3,23.25,13.2,1.6,3.1,4.7,1.6
23760000,PF,28,77,77,35.5,8.35,2.8,5.7,3.8750000000000004,8.4,4.1,0.6,0.3,2.8,3.0,23.099999999999998,20.3,0.581,0.444,0.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,4.5,3.1,8.1,2.1500000000000004
23500000,PF,25,71,71,30.0,5.1,1.0,4.1,2.0,6.5,1.2,0.6,1.0,1.1,3.1,13.1,13.6,0.593,0.339,0.252,3.9,20.0,11.9,5.3,0.9,2.9,9.1,17.1,2.1,2.1,4.2,0.4
22680000,PG,35,67,66,30.3,3.9,2.0,1.9,2.1,2.7,6.049999999999999,1.1,0.2,1.5,2.1,11.9,14.7,0.583,0.575,0.277,1.8,7.9,4.9,29.4,1.7,0.6,13.1,16.3,4.1,1.4,5.5,1.5
22600000,PG,30,67,0,26.0,5.3,2.0,3.3,2.4,4.2,3.7,0.7,0.3,1.5,1.6,14.9,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,2.1
22321429,SG,23,62,62,35.0,7.5,3.3,4.1,2.6,2.6,4.1,0.7,0.2,2.1,2.3,21.1,14.8,0.581,0.538,0.171,0.9,7.6,4.3,18.6,0.9,0.6,10.2,25.1,2.1,0.3,2.5,0.5
