Salary,Position,Age,GP,GS,3P,TRB,AST,STL,BLK,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,STL%,BLK%,TOV%,USG%,WS,eficiencia,tier_time
30351780,0,25,75,75,0.0,8.4,3.2,1.2,0.8,2.8,20.4,20.1,0.592,0.011,0.361,8.0,15.5,1.7,2.4,12.7,25.2,7.4,34.0,2
30351780,2,25,73,73,1.6,4.2,6.049999999999999,1.1,0.3,2.4,23.099999999999998,21.8,0.599,0.276,0.331,1.9,7.2,1.6,0.8,10.6,30.1,7.4,34.75,2
30075000,3,32,50,50,1.0,4.3,4.1,0.8,0.2,1.4,14.7,13.5,0.563,0.275,0.274,2.2,7.3,1.3,0.7,13.2,20.0,2.0,24.099999999999998,1
29776785,3,26,67,67,2.4,6.9,3.5,1.1,0.4,2.6,23.099999999999998,19.1,0.581,0.352,0.249,3.6,10.4,1.5,0.9,11.4,31.4,5.0,35.0,3
28400000,2,37,59,59,1.7,4.3,6.049999999999999,1.5,0.4,2.1,13.9,17.7,0.555,0.391,0.24,1.6,7.4,2.4,1.0,13.4,19.2,6.2,26.15,3
28333334,2,36,55,44,1.9,4.1,5.1,1.0,0.4,2.6,11.2,12.6,0.565,0.639,0.278,2.8,7.7,1.7,1.2,15.9,16.7,3.4,21.799999999999997,2
27733332,2,26,68,68,2.0,3.5,6.049999999999999,0.9,0.2,2.2,23.099999999999998,21.2,0.597,0.269,0.328,1.8,5.6,1.3,0.6,9.4,27.2,8.425,33.75,3
27300000,3,33,74,74,0.6,4.6,5.1,1.1,0.5,2.5,23.099999999999998,20.6,0.592,0.109,0.401,1.5,7.2,1.5,1.3,9.1,27.8,8.425,34.4,2
26500000,0,36,63,63,2.3,6.2,3.0,0.5,1.0,1.9,9.8,13.8,0.631,0.678,0.044,4.2,11.1,0.8,2.7,7.0,11.9,6.3,20.5,3
25806468,1,32,73,73,0.5,7.2,6.049999999999999,1.0,0.8,3.1,8.5,12.2,0.592,0.276,0.228,3.2,12.6,1.5,2.3,23.25,13.2,4.7,23.55,3
23760000,1,28,77,77,2.8,8.4,4.1,0.6,0.3,3.0,23.099999999999998,20.3,0.581,0.444,0.371,5.6,15.4,0.9,0.7,11.5,29.5,8.1,36.49999999999999,3
23500000,1,25,71,71,1.0,6.5,1.2,0.6,1.0,3.1,13.1,13.6,0.593,0.339,0.252,3.9,11.9,0.9,2.9,9.1,17.1,4.2,22.4,2
22680000,2,35,67,66,2.0,2.7,6.049999999999999,1.1,0.2,2.1,11.9,14.7,0.583,0.575,0.277,1.8,4.9,1.7,0.6,13.1,16.3,5.5,21.95,2
22600000,2,30,67,0,2.0,4.2,3.7,0.7,0.3,1.6,14.9,18.2,0.615,0.406,0.251,2.7,8.8,1.3,0.9,10.8,22.8,5.8,23.8,3
22321429,4,23,62,62,3.3,2.6,4.1,0.7,0.2,2.3,21.1,14.8,0.581,0.538,0.171,0.9,4.3,0.9,0.6,10.2,25.1,2.5,28.700000000000003,2
21486316,4,28,63,63,2.6,4.1,5.1,1.2,0.3,1.9,21.1,14.7,0.517,0.425,0.185,2.4,6.2,1.6,0.6,9.4,26.9,1.7,31.800000000000004,1
21250000,2,28,69,69,3.0,4.1,6.049999999999999,1.55,0.6,2.8,19.3,17.0,0.54,0.545,0.254,1.2,6.3,2.4,1.5,10.2,23.2,6.5,31.600000000000005,3
21177750,3,30,80,73,3.3,5.0,2.8,1.2,0.3,2.0,16.8,15.4,0.614,0.652,0.124,3.0,8.9,1.8,0.9,11.3,20.8,4.4,26.1,1
21100000,0,26,79,79,0.4,8.4,6.049999999999999,0.8,0.5,3.5,19.1,23.5,0.668,0.088,0.467,10.6,20.3,1.1,1.2,16.9,21.3,8.425,34.849999999999994,2
20955000,1,28,63,63,2.3,4.5,2.4,0.8,0.8,2.4,20.5,16.0,0.606,0.393,0.375,2.7,7.2,1.1,2.1,9.8,22.8,4.1,29.0,2
20690909,1,27,68,68,0.9,6.6,3.0,0.8,0.8,1.9,16.3,19.5,0.617,0.227,0.413,9.4,12.5,1.3,2.2,9.8,21.1,6.8,27.5,2
20100000,3,26,83,83,2.0,4.4,3.3,1.1,0.7,1.9,20.1,16.8,0.587,0.349,0.279,2.9,6.8,1.5,1.8,8.2,22.6,7.5,29.600000000000005,3
20000000,0,24,68,68,0.0,8.4,1.7,0.8,1.1,2.3,14.3,19.9,0.67,0.016,0.353,11.7,17.7,1.2,3.5,11.4,16.4,8.425,26.3,2
19700319,1,34,78,19,1.6,3.8,1.6,0.7,0.6,1.9,6.1,11.0,0.594,0.832,0.126,4.1,9.8,1.5,2.3,11.1,11.5,3.6,12.799999999999999,3
19568360,4,34,69,58,1.9,1.9,2.7,0.6,0.4,1.1,12.4,11.8,0.587,0.545,0.265,0.9,3.8,1.1,1.2,12.5,17.8,2.3,18.0,1
19500000,4,29,79,79,2.3,3.4,6.049999999999999,0.8,0.3,2.4,17.3,16.0,0.573,0.467,0.314,1.2,5.7,1.2,0.8,10.8,22.1,6.3,27.85,3
18796296,4,28,74,30,1.7,3.8,3.9,1.0,0.3,2.3,12.1,12.4,0.546,0.437,0.243,2.8,7.4,1.6,1.0,12.4,18.7,4.4,21.1,2
18642857,3,31,74,33,1.9,2.2,1.4,0.5,0.2,1.9,7.6,10.6,0.621,0.757,0.064,1.7,6.0,1.1,0.7,8.3,14.3,2.6,11.899999999999999,3
18352273,1,30,82,82,1.6,4.5,1.6,0.7,0.1,1.3,15.0,14.1,0.632,0.446,0.522,3.8,7.9,1.0,0.3,8.1,17.1,6.5,21.900000000000002,2
18206896,0,28,65,63,0.0,8.4,0.9,0.7,1.1,2.1,12.0,22.1,0.656,0.002,0.244,14.6,21.125,1.2,3.9,8.3,15.7,7.2,23.1,2
18000000,4,30,27,7,1.3,1.8,1.3,0.6,0.1,1.7,6.1,6.9,0.471,0.687,0.127,1.0,5.9,1.7,0.6,11.2,18.4,0.1,9.899999999999999,3
17926829,0,29,42,42,0.0,8.4,2.3,0.9,1.1,2.3,8.6,17.5,0.564,0.004,0.49,14.6,21.125,1.5,3.7,19.8,14.6,3.4,21.299999999999997,1
17400000,1,25,11,0,0.5,4.0,0.5,1.3,0.4,0.5,5.0,20.3,0.483,0.283,0.17,13.7,20.1,2.75,3.1,6.6,21.1,0.3,11.200000000000001,1
17357143,3,25,67,67,2.1,5.0,2.0,1.55,0.7,3.0,16.8,14.6,0.586,0.415,0.189,4.2,7.9,2.7,2.0,12.1,19.5,4.7,26.05,3
